Career,Skills
Business Transformation Analyst,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, project tracking, analysis, process improvement"
Legal Associate,"legal research, drafting, contract review, compliance, litigation support, documentation"
Corporate Lawyer,"legal research, drafting, contract review, compliance, litigation support, documentation, contracts, corporate law, negotiation, legal drafting"
Compliance Officer,"legal research, drafting, contract review, compliance, litigation support, documentation, policy review, regulatory analysis, audit support"
Contract Manager,"legal research, drafting, contract review, compliance, litigation support, documentation, negotiation, vendor contracts, risk assessment"
Healthcare Administrator,"patient care, clinical documentation, medical terminology, care coordination, compliance, hospital operations, documentation, reporting"
Nurse,"patient care, clinical documentation, medical terminology, care coordination, compliance, patient safety"
Medical Coder,"patient care, clinical documentation, medical terminology, care coordination, compliance, icd coding, documentation, billing, claims"
Clinical Data Coordinator,"patient care, clinical documentation, medical terminology, care coordination, compliance, data entry, regulatory compliance, patient records"
Clinical Research Associate,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, clinical trials, monitoring"
Regulatory Affairs Specialist,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, regulatory affairs, submission management, compliance, quality systems"
Drug Safety Associate,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, pharmacovigilance, case processing, medical terminology, compliance"
Biotech Research Associate,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, research, quality control"
School Teacher,"teaching, lesson planning, curriculum development, assessment, classroom management, communication, student engagement, presentation"
Assistant Professor,"teaching, curriculum development, assessment, academic writing, research, presentation, student mentoring, subject expertise, faculty coordination, higher education pedagogy, publication writing, committee participation"
Research Assistant,"literature review, data collection, data analysis, academic writing, research methodology, documentation, report writing, presentation"
Instructional Designer,"teaching, curriculum development, assessment, academic writing, research, presentation, instructional design, e learning, learning management systems"
Academic Counselor,"student counseling, communication, academic advising, documentation, career guidance, problem solving, relationship management"
Mechanical Design Engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, gd&t, materials"
Production Engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, production planning, lean manufacturing, process improvement"
Maintenance Engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, preventive maintenance, troubleshooting, mechanical systems, root cause analysis"
CAD Engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, drafting, 3d modeling, engineering drawings"
Civil Engineer,"autocad, estimation, site supervision, project planning, quantity surveying, construction management"
Quantity Surveyor,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, boq, contracts, cost control"
Planning Engineer,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, primavera, ms project, scheduling, reporting"
Structural Engineer,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, structural analysis, staad pro, design calculations, concrete design"
Electrical Engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, maintenance"
Electronics Engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, electronics, pcb, testing, embedded systems"
PLC Automation Engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, scada, industrial automation"
Embedded Systems Engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, embedded c, microcontrollers, debugging, rtos"
Quality Engineer,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, iso standards"
Process Engineer,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, production planning"
Industrial Engineer,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, industrial engineering, time study, lean, layout planning, continuous improvement"
Quality Manager,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, quality management, audit, process control, team leadership, customer quality"
Content Writer,"content writing, editing, storytelling, seo, research, social media"
Editor,"content writing, editing, storytelling, seo, proofreading, content strategy, style guides, publishing, copy editing, headline writing"
Journalist,"content writing, editing, storytelling, seo, research, social media, interviewing, news writing, fact checking, communication"
Social Media Manager,"content writing, editing, storytelling, seo, research, social media, social media marketing, content planning, analytics, copywriting, community engagement"
Policy Analyst,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, presentation"
Program Officer,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, program management, stakeholder coordination, monitoring and evaluation"
Public Affairs Associate,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, communication, policy tracking"
Research Fellow,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, research, public policy"
E commerce Specialist,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, e commerce, catalog management"
Retail Operations Executive,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, operations management, reporting"
Merchandiser,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, inventory planning, pricing"
Category Analyst,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, data analysis, pricing, market research, catalog analysis"
Hotel Operations Executive,"guest relations, reservation systems, operations management, communication, customer service, billing"
Travel Consultant,"guest relations, reservation systems, operations management, communication, customer service, travel planning, itinerary planning"
Guest Relations Manager,"guest relations, reservation systems, operations management, communication, customer service, service recovery, team coordination"
Events Coordinator,"guest relations, reservation systems, operations management, communication, customer service, event planning, vendor coordination, budget tracking"
Data Engineer,"python, sql, spark, kafka, airflow, data pipelines, etl, cloud storage, hadoop, data modeling, dbt, redshift"
Embedded Software Engineer,"c, c++, rtos, embedded linux, firmware, microcontrollers, iot, debugging, hardware interfaces, serial communication, memory management"
Platform Engineer,"python, kubernetes, helm, terraform, ci cd, internal developer platforms, backstage, observability, cloud, api gateways"
Security Engineer,"python, devsecops, sast, dast, owasp, code review, threat modeling, vulnerability scanning, ci cd, secure sdlc"
Technical Lead,"python, java, system design, code review, mentoring, architecture, agile, project planning, stakeholder communication, performance tuning"
Game Developer,"unity, unreal engine, c++, c#, game physics, graphics programming, game ai, multiplayer networking, shader programming"
Data Scientist,"python, machine learning, statistics, deep learning, scikit-learn, pandas, numpy, feature engineering, model evaluation, sql, experimentation"
Generative AI Engineer,"python, llm, langchain, prompt engineering, rag, vector databases, openai api, fine tuning, huggingface, transformers"
AI Research Scientist,"python, deep learning, pytorch, research, paper writing, experimentation, statistics, reinforcement learning, mathematical modeling"
Robotics Engineer,"python, ros, embedded systems, computer vision, control systems, kinematics, sensor fusion, c++, simulation"
Speech Recognition Engineer,"python, deep learning, speech processing, kaldi, wav2vec, asr, pytorch, audio features, hmm, nlp"
Marketing Analyst,"python, sql, google analytics, excel, a/b testing, attribution modeling, cohort analysis, tableau, marketing metrics"
Product Analyst,"python, sql, excel, product analytics, mixpanel, amplitude, a/b testing, cohort analysis, user behavior analysis"
Cloud Architect,"aws, azure, gcp, solution architecture, terraform, networking, security, cost optimization, cloud migration, microservices, well architected framework"
Database Administrator,"mysql, postgresql, oracle, sql server, query optimization, backup recovery, replication, monitoring, linux, performance tuning"
Infrastructure Engineer,"linux, networking, vmware, storage, servers, cloud platforms, monitoring, scripting, disaster recovery, capacity planning"
Security Operations Engineer,"linux, siem, firewalls, ids ips, cloud security, iam, compliance, incident response, vulnerability scanning, scripting"
Cloud Security Engineer,"aws security, azure security, cspm, iam, encryption, zero trust, kubernetes security, compliance, terraform, siem"
Digital Forensics Analyst,"digital forensics, malware analysis, memory forensics, network forensics, incident response, autopsy, volatility, chain of custody"
Security Architect,"security architecture, threat modeling, zero trust, network security, cloud security, iam, encryption, risk management, cissp, enterprise security"
Threat Intelligence Analyst,"threat intelligence, osint, mitre att&ck, malware analysis, ioc analysis, siem, python, threat hunting, dark web monitoring"
Corporate Finance Analyst,"financial modeling, dcf valuation, m&a analysis, excel, powerpoint, pitch decks, capital markets, equity research"
Treasury Analyst,"cash management, forex, liquidity management, banking relationships, investment, hedging, treasury systems, financial reporting"
Financial Controller,"accounting, financial reporting, ifrs, gaap, budgeting, audit, internal controls, erp, consolidation, variance analysis"
Credit Analyst,"credit assessment, financial analysis, risk rating, loan structuring, excel, financial modeling, banking, credit risk frameworks"
Product Designer,"figma, user research, wireframing, prototyping, design systems, usability testing, interaction design, visual design, accessibility"
Design Researcher,"user research, qualitative methods, interviews, usability testing, synthesis, affinity mapping, survey design, persona development"
Brand Designer,"branding, visual identity, typography, color theory, logo design, brand guidelines, illustrator, photoshop, packaging design"
Design Lead,"figma, design strategy, team leadership, stakeholder management, design systems, product thinking, mentoring, interaction design"
Corporate Trainer,"training delivery, learning design, lms, facilitation, content development, needs analysis, adult learning, feedback"
Curriculum Developer,"curriculum design, bloom's taxonomy, learning objectives, content authoring, articulate, lms, assessment design, instructional design"
EdTech Product Specialist,"lms platforms, instructional design, product management, user research, e-learning, content strategy, analytics, stakeholder management"
University Lecturer,"lecture delivery, research, academic writing, course design, grading, student mentoring, subject expertise, academic publishing, classroom management, project supervision, presentation"
Power Systems Engineer,"power systems, protection relays, scada, load flow analysis, switchgear, substation design, etap, power quality"
VLSI Design Engineer,"verilog, vhdl, rtl design, synthesis, timing analysis, dft, asic, fpga, cadence, synopsys"
IoT Engineer,"iot protocols, mqtt, embedded c, microcontrollers, raspberry pi, arduino, cloud iot, sensors, wireless communication, firmware"
Instrumentation Engineer,"pid control, plc, scada, sensors, transmitters, calibration, dcs, process control, p&id, field instruments"
HR Analytics Specialist,"excel, python, hr metrics, attrition analysis, workforce planning, people analytics, tableau, sql, survey analysis"
Diversity and Inclusion Specialist,"dei programs, policy development, bias training, culture building, data analysis, stakeholder engagement, communication"
Employee Relations Specialist,"labor law, grievance handling, disciplinary process, conflict resolution, policy interpretation, hr compliance, documentation"
Talent Development Manager,"leadership development, succession planning, talent frameworks, coaching, l&d strategy, learning programs, performance management"
IT Consultant,"it strategy, solution architecture, erp, stakeholder management, requirements analysis, project management, change management, documentation"
Financial Advisory Analyst,"financial analysis, modeling, due diligence, m&a, valuation, excel, powerpoint, client management, research"
HR Consultant,"hr strategy, job evaluation, org design, change management, hr policies, compensation benchmarking, talent advisory"
Technology Consultant,"digital strategy, cloud advisory, agile, solution design, vendor management, business case development, presentation"
Intellectual Property Lawyer,"ip law, trademark, copyright, patent filing, ip litigation, licensing, ip strategy, legal research"
Labour Law Specialist,"labour law, employment law, grievance, industrial disputes, conciliation, labour codes, hr compliance, legal drafting"
Legal Research Analyst,"legal research, case analysis, statutory interpretation, westlaw, legal drafting, briefs, memo writing, regulatory research"
In-house Counsel,"contract drafting, negotiation, regulatory compliance, corporate law, risk management, company law, legal advisory, dispute resolution"
Health Data Analyst,"sql, python, healthcare data, ehr systems, icd coding, data visualization, tableau, health metrics, epidemiology"
Hospital Operations Manager,"operations management, hospital administration, workflow optimization, budgeting, staff management, compliance, patient flow"
Clinical Research Coordinator,"clinical trials, protocol adherence, patient recruitment, data collection, gcp, regulatory submissions, irb documentation"
Telemedicine Specialist,"telehealth platforms, virtual consultation, clinical assessment, remote monitoring, patient communication, digital health, ehr"
Pharmacovigilance Specialist,"adverse event reporting, eudravigilance, meddra, icsrs, safety database, signal detection, pv regulations, narrative writing"
Medical Affairs Executive,"medical communication, kol management, clinical data interpretation, disease area expertise, scientific platforms, dossier preparation"
Quality Assurance Specialist,"gmp, qa audits, deviations, capa, sops, validation, regulatory compliance, fda, ich guidelines, quality systems"
Formulation Scientist,"drug formulation, preformulation, excipients, stability studies, analytical testing, pharmaceutical development, dosage forms"
Product Design Engineer,"cad, solidworks, catia, product development, dfm, tolerance analysis, prototyping, fea, material selection, gd&t"
HVAC Engineer,"hvac design, duct design, heat load calculation, chiller systems, ahu, autocad, ashrae, hvac systems commissioning"
Thermal Engineer,"thermodynamics, heat transfer, cfd, ansys, heat exchangers, thermal analysis, fluid mechanics, cooling systems"
Automobile Engineer,"vehicle dynamics, engine systems, powertrain, autocad, catia, automotive testing, obd, adas, norms compliance"
Project Engineer Civil,"project management, site supervision, autocad, estimation, contract management, quality control, ms project, pert cpm, stakeholder coordination"
Environmental Engineer,"environmental impact assessment, etp, sewage treatment, pollution control, eia reports, sustainability, water treatment, solid waste"
Transportation Engineer,"highway design, traffic analysis, autocad, pavement design, geometric design, transportation planning, vissim, road safety"
Geotechnical Engineer,"soil mechanics, foundation design, slope stability, borehole analysis, geotechnical reports, plaxis, ground improvement, retaining walls"
Lean Manufacturing Engineer,"lean manufacturing, six sigma, value stream mapping, kaizen, 5s, waste reduction, time and motion study, production optimization"
Supply Chain Quality Analyst,"supplier audits, incoming quality control, apqp, ppap, root cause analysis, supplier corrective actions, spc, quality systems"
Production Planner,"production planning, mrp, erp, capacity planning, scheduling, inventory control, demand forecasting, cross functional coordination"
EHS Engineer,"environment health safety, risk assessment, incident investigation, iso 14001, ohsas 18001, safety audits, hazard analysis, permits to work"
Growth Marketer,"growth hacking, a/b testing, funnel optimization, paid ads, email marketing, product led growth, analytics, referral programs, retention"
Product Marketing Manager,"go-to-market strategy, positioning, messaging, competitive analysis, product launches, sales enablement, customer research"
Email Marketing Specialist,"email marketing, mailchimp, hubspot, segmentation, drip campaigns, a/b testing, html emails, deliverability, automation"
Market Research Analyst,"primary research, secondary research, qualtrics, survey design, focus groups, competitive analysis, market sizing, reports"
Video Producer,"video production, scriptwriting, editing, premiere pro, final cut, cinematography, color grading, storyboarding, project management"
Podcast Producer,"audio recording, podcast editing, audacity, adobe audition, scripting, show notes, distribution, audience building"
Copywriter,"advertising copy, brand voice, headline writing, campaigns, persuasive writing, storytelling, digital content, seo writing"
Photojournalist,"photography, news writing, photo editing, lightroom, field reporting, story research, caption writing, journalism ethics, camera operations"
Warehouse Manager,"warehouse operations, wms, inventory management, team leadership, space optimization, safety, 5s, inbound outbound operations"
Demand Planner,"demand forecasting, supply planning, s&op, excel, erp, statistical models, inventory optimization, cross functional collaboration"
Import Export Specialist,"customs clearance, incoterms, trade compliance, freight forwarding, documentation, letter of credit, hs codes, import regulations"
Vendor Manager,"vendor selection, contract negotiation, supplier performance, rfp rfq, cost management, relationship management, procurement"
Enterprise Sales Manager,"enterprise sales, consultative selling, crm, pipeline management, negotiation, c-suite engagement, account planning, solution selling"
Channel Sales Manager,"channel management, partner onboarding, distributor management, revenue targets, co-selling, incentive programs, crm"
Sales Operations Analyst,"crm analytics, salesforce, pipeline reporting, quota setting, compensation modeling, revenue analytics, sql, excel"
Urban Planner,"land use planning, gis, zoning, urban development, public consultation, policy analysis, master plans, smart city"
Public Health Officer,"epidemiology, public health programs, surveillance, health policy, community outreach, vaccination programs, disease prevention"
Economic Policy Analyst,"economic analysis, policy modeling, data analysis, policy briefs, stakeholder engagement, fiscal policy, regression analysis"
CSR Manager,"csr strategy, ngo coordination, impact reporting, stakeholder engagement, budget management, community programs, esg"
E-commerce Manager,"marketplace management, amazon seller central, flipkart, catalogue management, promotions, pricing strategy, analytics, customer experience"
Retail Buyer,"buying, vendor negotiation, range planning, trend analysis, open to buy, product selection, supplier management, margin optimization"
Customer Experience Manager,"cx strategy, nps, customer journey mapping, service design, complaint resolution, feedback analysis, cx tools, stakeholder management"
Visual Merchandiser,"store display, planogram, window dressing, brand guidelines, visual communication, retail layout, colour blocking, product placement"
Revenue Manager,"revenue management, pricing strategy, otas, channel management, forecasting, pms, yield management, compset analysis"
Food and Beverage Manager,"f&b operations, menu planning, cost control, staff management, vendor management, food safety, customer service, pos systems"
Tour Operations Manager,"tour planning, vendor coordination, travel logistics, itinerary design, client management, costing, gds, destination knowledge"
Actor,"acting, method acting, improvisation, voice modulation, script analysis, auditioning, stage performance, camera acting, character development, dialogue delivery, dance, stage combat"
Theatre Actor,"acting, stage performance, script analysis, voice projection, improvisation, character development, rehearsal discipline, movement, dialogue delivery"
Voice Actor,"voice modulation, diction, script reading, acting, audio recording, character voice, pronunciation, narration"
Computer Science Faculty,"teaching, programming, python, sql, software engineering, database management, curriculum development, assessment, lecture delivery, student mentoring, academic writing, presentation, manual testing, software testing, tableau, power bi, machine learning, ai"
Academic Research Lead,"research, academic writing, publication writing, literature review, project leadership, data analysis, faculty mentoring, presentation, grant writing, research supervision, spss, bibliometric analysis, systematic literature review, editorial work"
Hotel Operations Manager,"hotel operations, guest relations, front office, property management systems, team management, service quality, budgeting, shift operations, problem resolution"
