Role,Domain,Education,Skills,Interests,Recommended_Career
MLOps Engineer,Artificial Intelligence,btech computer science|mtech ai|msc ai|msc data science|mca,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, docker, kubernetes, mlflow, ci cd, model monitoring","neural networks, nlp, computer vision, llm, inference, ml platform, deployment automation, model monitoring",mlops engineer
Cloud Engineer,Cloud & Infrastructure,btech computer science|be information technology|bca|mca,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring","cloud operations, infrastructure, devops, ci cd, site reliability, cloud infrastructure, automation, deployment",cloud engineer
DevOps Engineer,Cloud & Infrastructure,btech computer science|be information technology|bca|mca,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, ci cd","cloud operations, infrastructure, devops, ci cd, site reliability, devops pipelines, release automation, infrastructure as code",devops engineer
Site Reliability Engineer,Cloud & Infrastructure,btech computer science|be information technology|bca|mca,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, incident management, scripting","cloud operations, infrastructure, devops, ci cd, site reliability, service reliability, observability, incident response",site reliability engineer
Systems Administrator,Cloud & Infrastructure,btech computer science|be information technology|bca|mca,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, windows server, troubleshooting, active directory, backup","cloud operations, infrastructure, devops, ci cd, site reliability, system administration, infrastructure support, server management",systems administrator
Network Engineer,Cloud & Infrastructure,btech computer science|be information technology|bca|mca,"linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, routing, switching, firewalls, tcp ip, network monitoring","cloud operations, infrastructure, devops, ci cd, site reliability, network operations, routing switching, connectivity",network engineer
Cybersecurity Analyst,Cybersecurity,btech computer science|cybersecurity|information security|mca|bca,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, threat analysis, soc monitoring, penetration testing, security monitoring, ethical hacking","threat detection, soc, security operations, penetration testing, compliance, security monitoring, incident triage, cyber security, ethical hacking, network security",cybersecurity analyst
SOC Analyst,Cybersecurity,btech computer science|cybersecurity|information security|mca,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, log analysis, threat intelligence","threat detection, soc, security operations, penetration testing, compliance, soc operations, alert triage, security events",soc analyst
Penetration Tester,Cybersecurity,btech computer science|cybersecurity|information security|mca,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, penetration testing, web security, burp suite, owasp","threat detection, soc, security operations, penetration testing, compliance, security testing, vulnerability exploitation, red team",penetration tester
IAM Engineer,Cybersecurity,btech computer science|cybersecurity|information security|mca,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, identity access management, active directory, okta, sso, mfa, access governance","threat detection, soc, security operations, penetration testing, compliance, identity governance, access control, authentication",iam engineer
GRC Analyst,Cybersecurity,btech computer science|cybersecurity|information security|mca,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, iso 27001, security compliance, audit, policy management","threat detection, soc, security operations, penetration testing, compliance, grc, security audits, policy compliance",grc analyst
Product Manager,Product & Project Management,mba|btech|bba|business administration,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, market research, product strategy","delivery, planning, project lifecycle, product strategy, cross functional, product roadmap, feature prioritization, user needs",product manager
Project Manager,Product & Project Management,mba|btech|bba|business administration,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, project planning, risk management","delivery, planning, project lifecycle, product strategy, cross functional, project delivery, execution",project manager
Program Manager,Product & Project Management,mba|btech|bba|business administration,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, program management, governance, risk management","delivery, planning, project lifecycle, product strategy, cross functional, program governance, cross functional delivery, portfolio execution",program manager
Scrum Master,Product & Project Management,mba|btech|bba|business administration,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, facilitation, retrospectives, team coaching","delivery, planning, project lifecycle, product strategy, cross functional, agile delivery, iteration planning, team facilitation",scrum master
Business Program Analyst,Product & Project Management,mba|btech|bba|business administration,"stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, excel, reporting, governance, project tracking, stakeholder coordination","delivery, planning, project lifecycle, product strategy, cross functional, pmo, status reporting, program tracking",business program analyst
UI UX Designer,Design & UX,bdes|bachelor design|mass communication|graphic design,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems","user experience, interaction design, interface design, journey mapping, design thinking",ui ux designer
Graphic Designer,Design & UX,bdes|bachelor design|mass communication|graphic design,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, adobe photoshop, illustrator, branding, layout design, typography, creative suite","user experience, interaction design, interface design, journey mapping, visual communication, brand design, creative assets",graphic designer
Interaction Designer,Design & UX,bdes|bachelor design|mass communication|graphic design,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interaction design, journey mapping","user experience, interaction design, interface design, journey mapping, interaction patterns, product flows, user interactions",interaction designer
UX Researcher,Design & UX,bdes|bachelor design|mass communication|graphic design,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interviews, surveys, analysis","user experience, interaction design, interface design, journey mapping, research synthesis, user insights, testing",ux researcher
Motion Designer,Design & UX,bdes|bachelor design|mass communication|graphic design,"figma, wireframing, prototyping, user research, visual design, usability testing, design systems, after effects, animation, storyboarding, video editing","user experience, interaction design, interface design, journey mapping, motion graphics, animation design, video assets",motion designer
Sales Executive,Sales,bba|mba marketing|commerce|business administration,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, communication, customer relationship management","revenue growth, sales targets, client acquisition, account growth, sales pipeline, prospecting",sales executive
Account Manager,Sales,bba|mba marketing|commerce|business administration,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, upselling, relationship management","revenue growth, sales targets, client acquisition, account growth, client retention, renewals",account manager
Business Development Manager,Sales,bba|mba marketing|commerce|business administration,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, market research, client meetings","revenue growth, sales targets, client acquisition, account growth, new business, partnerships, pipeline expansion",business development manager
Inside Sales Specialist,Sales,bba|mba marketing|commerce|business administration,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, cold calling, email outreach, lead qualification, communication","revenue growth, sales targets, client acquisition, account growth, inside sales, lead qualification, outbound sales",inside sales specialist
Pre Sales Consultant,Sales,bba|mba marketing|commerce|business administration,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, product demos, requirements analysis, solution design, proposal writing","revenue growth, sales targets, client acquisition, account growth, presales, solution consulting, demo support",pre sales consultant
Digital Marketing Specialist,Marketing,mba marketing|bba|mass communication|marketing,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, content marketing","brand campaigns, performance marketing, lead generation, digital channels, digital campaigns, paid media, traffic growth",digital marketing specialist
SEO Specialist,Marketing,mba marketing|bba|mass communication|marketing,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, keyword research, google search console, content optimization, analytics","brand campaigns, performance marketing, lead generation, digital channels, organic search, keyword strategy, search rankings",seo specialist
Performance Marketing Manager,Marketing,mba marketing|bba|mass communication|marketing,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, google ads, meta ads, campaign optimization, analytics, budget management","brand campaigns, performance marketing, lead generation, digital channels, paid campaigns, cac, roas",performance marketing manager
Content Strategist,Marketing,mba marketing|bba|mass communication|marketing,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, editorial planning, research","brand campaigns, performance marketing, lead generation, digital channels, content calendar, editorial strategy, brand voice",content strategist
Brand Manager,Marketing,mba marketing|bba|mass communication|marketing,"seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, brand strategy, campaign planning, consumer insights, communication, creative coordination","brand campaigns, performance marketing, lead generation, digital channels, brand positioning, campaign leadership, market communication",brand manager
Financial Analyst,Finance & Accounting,bcom|mcom|mba finance|ca|cma,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, variance analysis","financial planning, audit, compliance, accounts, valuation, fpna, budgeting, financial reporting",financial analyst
Accountant,Finance & Accounting,bcom|mcom|mba finance|ca|cma,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, tally, gst, accounts payable, accounts receivable, reconciliation","financial planning, audit, compliance, accounts, valuation, bookkeeping, financial statements, ledger management",accountant
Investment Analyst,Finance & Accounting,bcom|mcom|mba finance|ca|cma,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, valuation, research, capital markets","financial planning, audit, compliance, accounts, valuation, investment research, portfolio analysis",investment analyst
Internal Auditor,Finance & Accounting,bcom|mcom|mba finance|ca|cma,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, auditing, risk assessment, internal controls, documentation, compliance","financial planning, audit, compliance, accounts, valuation, internal audit, control testing, risk review",internal auditor
Tax Consultant,Finance & Accounting,bcom|mcom|mba finance|ca|cma,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance","financial planning, audit, compliance, accounts, valuation, tax compliance, gst filings, tax advisory",tax consultant
Risk Analyst,Finance & Accounting,bcom|mcom|mba finance|ca|cma,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql","financial planning, audit, compliance, accounts, valuation, risk monitoring, financial risk, controls",risk analyst
Talent Acquisition Specialist,Human Resources,mba hr|bba|psychology|human resources,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination","talent acquisition, people operations, employee lifecycle, policy, hiring, candidate pipeline",talent acquisition specialist
HR Generalist,Human Resources,mba hr|bba|psychology|human resources,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration","talent acquisition, people operations, employee lifecycle, policy, hr operations, employee support, policy execution",hr generalist
HRBP,Human Resources,mba hr|bba|psychology|human resources,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development","talent acquisition, people operations, employee lifecycle, policy, business partnering, people strategy, employee relations",hrbp
Learning and Development Specialist,Human Resources,mba hr|bba|psychology|human resources,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems","talent acquisition, people operations, employee lifecycle, policy, training programs, learning design, capability building",learning and development specialist
Compensation and Benefits Analyst,Human Resources,mba hr|bba|psychology|human resources,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting","talent acquisition, people operations, employee lifecycle, policy, rewards, compensation benchmarking, benefits",compensation and benefits analyst
Supply Chain Analyst,Operations & Supply Chain,mba operations|bcom|mechanical engineering|industrial engineering,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp","operations planning, procurement, warehouse, demand planning, supply analysis, inventory insights",supply chain analyst
Procurement Specialist,Operations & Supply Chain,mba operations|bcom|mechanical engineering|industrial engineering,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders","operations planning, procurement, warehouse, demand planning, vendor sourcing, purchase management, procurement operations",procurement specialist
Logistics Coordinator,Operations & Supply Chain,mba operations|bcom|mechanical engineering|industrial engineering,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication","operations planning, procurement, warehouse, demand planning, shipment planning, dispatch, transport coordination",logistics coordinator
Operations Analyst,Operations & Supply Chain,mba operations|bcom|mechanical engineering|industrial engineering,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination","operations planning, procurement, warehouse, demand planning, operations reporting, process analysis, business operations",operations analyst
Inventory Planner,Operations & Supply Chain,mba operations|bcom|mechanical engineering|industrial engineering,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning","operations planning, procurement, warehouse, demand planning, stock optimization, inventory planning, replenishment",inventory planner
Management Consultant,Consulting,mba|economics|engineering|business administration,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication","strategy consulting, client advisory, process transformation, market analysis, business transformation, strategic recommendations",management consultant
Strategy Analyst,Consulting,mba|economics|engineering|business administration,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis","strategy consulting, client advisory, process transformation, market analysis, strategy projects, market studies, business cases",strategy analyst
Operations Consultant,Consulting,mba|economics|engineering|business administration,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean","strategy consulting, client advisory, process transformation, market analysis, process improvement, operating model, transformation",operations consultant
Business Transformation Analyst,Consulting,mba|economics|engineering|business administration,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, project tracking, analysis, process improvement","strategy consulting, client advisory, process transformation, market analysis, transformation office, change delivery, workstream support",business transformation analyst
Legal Associate,Legal,llb|llm|law,"legal research, drafting, contract review, compliance, litigation support, documentation","contracts, regulatory, case law, legal documentation, legal drafting, case research, documentation",legal associate
Corporate Lawyer,Legal,llb|llm|law,"legal research, drafting, contract review, compliance, litigation support, documentation, contracts, corporate law, negotiation, legal drafting","contracts, regulatory, case law, legal documentation, corporate transactions, contract negotiation, regulatory support",corporate lawyer
Compliance Officer,Legal,llb|llm|law,"legal research, drafting, contract review, compliance, litigation support, documentation, policy review, regulatory analysis, audit support","contracts, regulatory, case law, legal documentation, compliance programs, policy governance, regulatory adherence",compliance officer
Contract Manager,Legal,llb|llm|law,"legal research, drafting, contract review, compliance, litigation support, documentation, negotiation, vendor contracts, risk assessment","contracts, regulatory, case law, legal documentation, contract lifecycle, commercial agreements, risk clauses",contract manager
Healthcare Administrator,Healthcare,mbbs|bsc nursing|bpharm|healthcare administration,"patient care, clinical documentation, medical terminology, care coordination, compliance, hospital operations, documentation, reporting","clinical operations, hospital workflow, patient safety, healthcare operations, patient services, hospital administration",healthcare administrator
Nurse,Healthcare,mbbs|bsc nursing|bpharm|healthcare administration,"patient care, clinical documentation, medical terminology, care coordination, compliance, patient safety","clinical operations, hospital workflow, patient safety, clinical care, nursing practice, patient monitoring",nurse
Medical Coder,Healthcare,mbbs|bsc nursing|bpharm|healthcare administration,"patient care, clinical documentation, medical terminology, care coordination, compliance, icd coding, documentation, billing, claims","clinical operations, hospital workflow, patient safety, medical coding, claims processing, health records",medical coder
Clinical Data Coordinator,Healthcare,mbbs|bsc nursing|bpharm|healthcare administration,"patient care, clinical documentation, medical terminology, care coordination, compliance, data entry, regulatory compliance, patient records","clinical operations, hospital workflow, patient safety, clinical records, data quality, coordination",clinical data coordinator
Clinical Research Associate,Pharma & Biotech,bpharm|mpharm|biotechnology|life sciences,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, clinical trials, monitoring","clinical trials, drug safety, quality systems, research protocols, site monitoring, study compliance",clinical research associate
Regulatory Affairs Specialist,Pharma & Biotech,bpharm|mpharm|biotechnology|life sciences,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, regulatory affairs, submission management, compliance, quality systems","clinical trials, drug safety, quality systems, research protocols, regulatory submissions, quality compliance, documentation",regulatory affairs specialist
Drug Safety Associate,Pharma & Biotech,bpharm|mpharm|biotechnology|life sciences,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, pharmacovigilance, case processing, medical terminology, compliance","clinical trials, drug safety, quality systems, research protocols, case processing, safety reporting",drug safety associate
Biotech Research Associate,Pharma & Biotech,bpharm|mpharm|biotechnology|life sciences,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, research, quality control","clinical trials, drug safety, quality systems, research protocols, lab research, experimental work, scientific documentation",biotech research associate
School Teacher,Education & Research,bed|med|ba|bsc|ma|msc,"teaching, lesson planning, curriculum development, assessment, classroom management, communication, student engagement, presentation","school teaching, classroom teaching, lesson plans, student assessment, pedagogy, subject teacher, parent communication",school teacher
Assistant Professor,Education & Research,phd|mphil|mtech|msc|mca|ma|med,"teaching, curriculum development, assessment, academic writing, research, presentation, student mentoring, subject expertise, faculty coordination, higher education pedagogy, publication writing, committee participation","higher education, assistant professor, lecturer, faculty member, academic research, student mentoring, course delivery, college teaching, university teaching, department activities, naac, ugc, research publications, faculty development",assistant professor
Research Assistant,Education & Research,bachelors|bsc|ba|btech|msc|ma|mphil,"literature review, data collection, data analysis, academic writing, research methodology, documentation, report writing, presentation","research support, literature review, project assistance, research data, survey support, documentation, assistant researcher",research assistant
Instructional Designer,Education & Research,bed|med|ma|msc|phd,"teaching, curriculum development, assessment, academic writing, research, presentation, instructional design, e learning, learning management systems","classroom instruction, pedagogy, higher education, learning outcomes, learning design, course development, training content",instructional designer
Academic Counselor,Education & Research,bed|med|ma|msc|psychology|counseling,"student counseling, communication, academic advising, documentation, career guidance, problem solving, relationship management","student support, academic advising, counseling, progression guidance, student records, higher education support",academic counselor
Mechanical Design Engineer,Mechanical Engineering,btech mechanical engineering|be mechanical engineering|diploma mechanical,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, gd&t, materials","production systems, mechanical components, maintenance, process engineering, mechanical design, cad modeling, product components",mechanical design engineer
Production Engineer,Mechanical Engineering,btech mechanical engineering|be mechanical engineering|diploma mechanical,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, production planning, lean manufacturing, process improvement","production systems, mechanical components, maintenance, process engineering, production line, manufacturing process, shop floor",production engineer
Maintenance Engineer,Mechanical Engineering,btech mechanical engineering|be mechanical engineering|diploma mechanical,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, preventive maintenance, troubleshooting, mechanical systems, root cause analysis","production systems, mechanical components, maintenance, process engineering, equipment maintenance, breakdown analysis, reliability",maintenance engineer
CAD Engineer,Mechanical Engineering,btech mechanical engineering|be mechanical engineering|diploma mechanical,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, drafting, 3d modeling, engineering drawings","production systems, mechanical components, maintenance, process engineering, cad drawings, 3d models, technical drafting",cad engineer
Civil Engineer,Civil Engineering,btech civil engineering|be civil engineering|diploma civil,"autocad, estimation, site supervision, project planning, quantity surveying, construction management","construction site, structural works, boq, contracts, site execution, construction planning, civil works",civil engineer
Quantity Surveyor,Civil Engineering,btech civil engineering|be civil engineering|diploma civil,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, boq, contracts, cost control","construction site, structural works, boq, contracts, project costing, contract quantities",quantity surveyor
Planning Engineer,Civil Engineering,btech civil engineering|be civil engineering|diploma civil,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, primavera, ms project, scheduling, reporting","construction site, structural works, boq, contracts, project schedule, construction planning, progress monitoring",planning engineer
Structural Engineer,Civil Engineering,btech civil engineering|be civil engineering|diploma civil,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, structural analysis, staad pro, design calculations, concrete design","construction site, structural works, boq, contracts, structural design, load calculations, building structures",structural engineer
Electrical Engineer,Electrical & Electronics Engineering,btech electrical engineering|be electronics engineering|diploma electrical,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, maintenance","maintenance, electronics, embedded systems, industrial automation, electrical maintenance, power systems, control panels",electrical engineer
Electronics Engineer,Electrical & Electronics Engineering,btech electrical engineering|be electronics engineering|diploma electrical,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, electronics, pcb, testing, embedded systems","maintenance, electronics, embedded systems, industrial automation, circuit testing, electronics design, embedded hardware",electronics engineer
PLC Automation Engineer,Electrical & Electronics Engineering,btech electrical engineering|be electronics engineering|diploma electrical,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, scada, industrial automation","maintenance, electronics, embedded systems, industrial automation, control systems, plc programming",plc automation engineer
Embedded Systems Engineer,Electrical & Electronics Engineering,btech electrical engineering|be electronics engineering|diploma electrical,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, embedded c, microcontrollers, debugging, rtos","maintenance, electronics, embedded systems, industrial automation, embedded software, device firmware, microcontrollers",embedded systems engineer
Quality Engineer,Manufacturing & Quality,mechanical engineering|industrial engineering|production engineering,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, iso standards","production line, quality systems, continuous improvement, operations excellence, inspection, defect prevention",quality engineer
Process Engineer,Manufacturing & Quality,mechanical engineering|industrial engineering|production engineering,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, production planning","production line, quality systems, continuous improvement, operations excellence, process optimization, manufacturing improvement, efficiency",process engineer
Industrial Engineer,Manufacturing & Quality,mechanical engineering|industrial engineering|production engineering,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, industrial engineering, time study, lean, layout planning, continuous improvement","production line, quality systems, continuous improvement, operations excellence, productivity improvement, work measurement, layout planning",industrial engineer
Quality Manager,Manufacturing & Quality,mechanical engineering|industrial engineering|production engineering,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, quality management, audit, process control, team leadership, customer quality","production line, quality systems, continuous improvement, operations excellence, quality leadership, audits, compliance",quality manager
Content Writer,Media & Content,journalism|mass communication|english|media studies,"content writing, editing, storytelling, seo, research, social media","editorial, content production, publishing, communication, editorial writing, web content, copy",content writer
Editor,Media & Content,journalism|mass communication|english|media studies,"content writing, editing, storytelling, seo, proofreading, content strategy, style guides, publishing, copy editing, headline writing","editorial content, content production, digital publishing, magazine editing, newsroom, editorial review, language quality, copy desk",editor
Journalist,Media & Content,journalism|mass communication|english|media studies,"content writing, editing, storytelling, seo, research, social media, interviewing, news writing, fact checking, communication","editorial, content production, publishing, communication, reporting, story development, news coverage",journalist
Social Media Manager,Media & Content,journalism|mass communication|english|media studies,"content writing, editing, storytelling, seo, research, social media, social media marketing, content planning, analytics, copywriting, community engagement","editorial, content production, publishing, communication, social content, community management, engagement metrics",social media manager
Policy Analyst,Government & Public Policy,public policy|political science|economics|law,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, presentation","public administration, government schemes, regulatory analysis, policy implementation, policy analysis, research briefs, public programs",policy analyst
Program Officer,Government & Public Policy,public policy|political science|economics|law,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, program management, stakeholder coordination, monitoring and evaluation","public administration, government schemes, regulatory analysis, policy implementation, program implementation, field coordination, monitoring",program officer
Public Affairs Associate,Government & Public Policy,public policy|political science|economics|law,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, communication, policy tracking","public administration, government schemes, regulatory analysis, policy implementation, public affairs, government communication, stakeholder outreach",public affairs associate
Research Fellow,Government & Public Policy,public policy|political science|economics|law,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, research, public policy","public administration, government schemes, regulatory analysis, policy implementation, policy research, analysis papers",research fellow
E commerce Specialist,Retail & E-commerce,bba|commerce|mba retail|business administration,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, e commerce, catalog management","online retail, catalog, pricing, order management, marketplace listings",e commerce specialist
Retail Operations Executive,Retail & E-commerce,bba|commerce|mba retail|business administration,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, operations management, reporting","online retail, catalog, pricing, order management, store operations, inventory control, retail processes",retail operations executive
Merchandiser,Retail & E-commerce,bba|commerce|mba retail|business administration,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, inventory planning, pricing","online retail, catalog, pricing, order management, product assortment, merchandising plans, stock movement",merchandiser
