Role,Experience_Years,Skills,Salary_LPA
Data Analyst,11,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",16.88
Data Analyst,12,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",18.12
Data Analyst,13,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",19.42
Data Analyst,14,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",20.78
Data Analyst,15,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data cleaning, reporting",22.2
Business Analyst,0,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",7.2
Business Analyst,1,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",7.78
Business Analyst,2,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",8.42
Business Analyst,3,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",9.12
Business Analyst,4,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",9.88
Business Analyst,5,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",10.7
Business Analyst,6,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",11.58
Business Analyst,7,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",12.52
Business Analyst,8,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",13.52
Business Analyst,9,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",14.58
Business Analyst,10,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",15.7
Business Analyst,11,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",16.88
Business Analyst,12,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",18.12
Business Analyst,13,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",19.42
Business Analyst,14,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",20.78
Business Analyst,15,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, requirements gathering, process mapping, stakeholder management",22.2
BI Analyst,0,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",7.2
BI Analyst,1,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",7.78
BI Analyst,2,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",8.42
BI Analyst,3,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",9.12
BI Analyst,4,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",9.88
BI Analyst,5,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",10.7
BI Analyst,6,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",11.58
BI Analyst,7,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",12.52
BI Analyst,8,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",13.52
BI Analyst,9,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",14.58
BI Analyst,10,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",15.7
BI Analyst,11,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",16.88
BI Analyst,12,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",18.12
BI Analyst,13,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",19.42
BI Analyst,14,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",20.78
BI Analyst,15,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, power bi, tableau, data modeling, dashboard design",22.2
Analytics Engineer,0,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",7.2
Analytics Engineer,1,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",7.78
Analytics Engineer,2,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",8.42
Analytics Engineer,3,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",9.12
Analytics Engineer,4,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",9.88
Analytics Engineer,5,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",10.7
Analytics Engineer,6,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",11.58
Analytics Engineer,7,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",12.52
Analytics Engineer,8,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",13.52
Analytics Engineer,9,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",14.58
Analytics Engineer,10,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",15.7
Analytics Engineer,11,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",16.88
Analytics Engineer,12,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",18.12
Analytics Engineer,13,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",19.42
Analytics Engineer,14,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",20.78
Analytics Engineer,15,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, dbt, data modeling, snowflake, etl",22.2
Quantitative Analyst,0,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",7.2
Quantitative Analyst,1,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",7.78
Quantitative Analyst,2,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",8.42
Quantitative Analyst,3,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",9.12
Quantitative Analyst,4,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",9.88
Quantitative Analyst,5,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",10.7
Quantitative Analyst,6,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",11.58
Quantitative Analyst,7,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",12.52
Quantitative Analyst,8,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",13.52
Quantitative Analyst,9,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",14.58
Quantitative Analyst,10,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",15.7
Quantitative Analyst,11,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",16.88
Quantitative Analyst,12,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",18.12
Quantitative Analyst,13,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",19.42
Quantitative Analyst,14,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",20.78
Quantitative Analyst,15,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, financial modeling, forecasting",22.2
Research Analyst,0,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",7.2
Research Analyst,1,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",7.78
Research Analyst,2,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",8.42
Research Analyst,3,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",9.12
Research Analyst,4,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",9.88
Research Analyst,5,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",10.7
Research Analyst,6,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",11.58
Research Analyst,7,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",12.52
Research Analyst,8,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",13.52
Research Analyst,9,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",14.58
Research Analyst,10,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",15.7
Research Analyst,11,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",16.88
Research Analyst,12,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",18.12
Research Analyst,13,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",19.42
Research Analyst,14,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",20.78
Research Analyst,15,"python, sql, statistics, pandas, numpy, data visualization, machine learning, excel, research, report writing, data analysis, presentation",22.2
Machine Learning Engineer,0,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",9.0
Machine Learning Engineer,1,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",9.58
Machine Learning Engineer,2,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",10.22
Machine Learning Engineer,3,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",10.92
Machine Learning Engineer,4,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",11.68
Machine Learning Engineer,5,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",12.5
Machine Learning Engineer,6,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",13.38
Machine Learning Engineer,7,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",14.32
Machine Learning Engineer,8,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",15.32
Machine Learning Engineer,9,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",16.38
Machine Learning Engineer,10,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",17.5
Machine Learning Engineer,11,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",18.68
Machine Learning Engineer,12,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",19.92
Machine Learning Engineer,13,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",21.22
Machine Learning Engineer,14,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",22.58
Machine Learning Engineer,15,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, mlops, feature engineering",24.0
AI Engineer,0,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",9.0
AI Engineer,1,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",9.58
AI Engineer,2,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",10.22
AI Engineer,3,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",10.92
AI Engineer,4,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",11.68
AI Engineer,5,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",12.5
AI Engineer,6,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",13.38
AI Engineer,7,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",14.32
AI Engineer,8,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",15.32
AI Engineer,9,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",16.38
AI Engineer,10,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",17.5
AI Engineer,11,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",18.68
AI Engineer,12,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",19.92
AI Engineer,13,"python, machine learning, deep learning, pytorch, tensorflow, scikit-learn, model deployment, transformers, llm, model serving",21.22
