Career,Skills
compliance officer,"legal research, drafting, contract review, compliance, litigation support, documentation, policy review, regulatory analysis, audit support"
contract manager,"legal research, drafting, contract review, compliance, litigation support, documentation, negotiation, vendor contracts, risk assessment"
healthcare administrator,"patient care, clinical documentation, medical terminology, care coordination, compliance, hospital operations, documentation, reporting"
nurse,"patient care, clinical documentation, medical terminology, care coordination, compliance, patient safety"
medical coder,"patient care, clinical documentation, medical terminology, care coordination, compliance, icd coding, documentation, billing, claims"
clinical data coordinator,"patient care, clinical documentation, medical terminology, care coordination, compliance, data entry, regulatory compliance, patient records"
clinical research associate,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, clinical trials, monitoring"
regulatory affairs specialist,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, regulatory affairs, submission management, compliance, quality systems"
drug safety associate,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, pharmacovigilance, case processing, medical terminology, compliance"
biotech research associate,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, research, quality control"
school teacher,"teaching, lesson planning, curriculum development, assessment, classroom management, communication, student engagement, presentation"
assistant professor,"teaching, curriculum development, assessment, academic writing, research, presentation, student mentoring, subject expertise, faculty coordination, higher education pedagogy, publication writing, committee participation"
research assistant,"literature review, data collection, data analysis, academic writing, research methodology, documentation, report writing, presentation"
instructional designer,"teaching, curriculum development, assessment, academic writing, research, presentation, instructional design, e learning, learning management systems"
academic counselor,"student counseling, communication, academic advising, documentation, career guidance, problem solving, relationship management"
mechanical design engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, gd&t, materials"
production engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, production planning, lean manufacturing, process improvement"
maintenance engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, preventive maintenance, troubleshooting, mechanical systems, root cause analysis"
cad engineer,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, drafting, 3d modeling, engineering drawings"
civil engineer,"autocad, estimation, site supervision, project planning, quantity surveying, construction management"
quantity surveyor,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, boq, contracts, cost control"
planning engineer,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, primavera, ms project, scheduling, reporting"
structural engineer,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, structural analysis, staad pro, design calculations, concrete design"
electrical engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, maintenance"
electronics engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, electronics, pcb, testing, embedded systems"
plc automation engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, scada, industrial automation"
embedded systems engineer,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, embedded c, microcontrollers, debugging, rtos"
quality engineer,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, iso standards"
process engineer,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, production planning"
industrial engineer,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, industrial engineering, time study, lean, layout planning, continuous improvement"
quality manager,"quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, quality management, audit, process control, team leadership, customer quality"
content writer,"content writing, editing, storytelling, seo, research, social media"
editor,"content writing, editing, storytelling, seo, proofreading, content strategy, style guides, publishing, copy editing, headline writing"
journalist,"content writing, editing, storytelling, seo, research, social media, interviewing, news writing, fact checking, communication"
social media manager,"content writing, editing, storytelling, seo, research, social media, social media marketing, content planning, analytics, copywriting, community engagement"
policy analyst,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, presentation"
program officer,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, program management, stakeholder coordination, monitoring and evaluation"
public affairs associate,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, communication, policy tracking"
research fellow,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, research, public policy"
e commerce specialist,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, e commerce, catalog management"
retail operations executive,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, operations management, reporting"
merchandiser,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, inventory planning, pricing"
category analyst,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, data analysis, pricing, market research, catalog analysis"
hotel operations executive,"guest relations, reservation systems, operations management, communication, customer service, billing"
travel consultant,"guest relations, reservation systems, operations management, communication, customer service, travel planning, itinerary planning"
guest relations manager,"guest relations, reservation systems, operations management, communication, customer service, service recovery, team coordination"
events coordinator,"guest relations, reservation systems, operations management, communication, customer service, event planning, vendor coordination, budget tracking"
data engineer,"python, sql, spark, kafka, airflow, data pipelines, etl, cloud storage, hadoop, data modeling, dbt, redshift"
embedded software engineer,"c, c++, rtos, embedded linux, firmware, microcontrollers, iot, debugging, hardware interfaces, serial communication, memory management"
platform engineer,"python, kubernetes, helm, terraform, ci cd, internal developer platforms, backstage, observability, cloud, api gateways"
security engineer,"python, devsecops, sast, dast, owasp, code review, threat modeling, vulnerability scanning, ci cd, secure sdlc"
technical lead,"python, java, system design, code review, mentoring, architecture, agile, project planning, stakeholder communication, performance tuning"
game developer,"unity, unreal engine, c++, c#, game physics, graphics programming, game ai, multiplayer networking, shader programming"
data scientist,"python, machine learning, statistics, deep learning, scikit-learn, pandas, numpy, feature engineering, model evaluation, sql, experimentation"
generative ai engineer,"python, llm, langchain, prompt engineering, rag, vector databases, openai api, fine tuning, huggingface, transformers"
ai research scientist,"python, deep learning, pytorch, research, paper writing, experimentation, statistics, reinforcement learning, mathematical modeling"
robotics engineer,"python, ros, embedded systems, computer vision, control systems, kinematics, sensor fusion, c++, simulation"
speech recognition engineer,"python, deep learning, speech processing, kaldi, wav2vec, asr, pytorch, audio features, hmm, nlp"
marketing analyst,"python, sql, google analytics, excel, a/b testing, attribution modeling, cohort analysis, tableau, marketing metrics"
product analyst,"python, sql, excel, product analytics, mixpanel, amplitude, a/b testing, cohort analysis, user behavior analysis"
cloud architect,"aws, azure, gcp, solution architecture, terraform, networking, security, cost optimization, cloud migration, microservices, well architected framework"
database administrator,"mysql, postgresql, oracle, sql server, query optimization, backup recovery, replication, monitoring, linux, performance tuning"
infrastructure engineer,"linux, networking, vmware, storage, servers, cloud platforms, monitoring, scripting, disaster recovery, capacity planning"
security operations engineer,"linux, siem, firewalls, ids ips, cloud security, iam, compliance, incident response, vulnerability scanning, scripting"
cloud security engineer,"aws security, azure security, cspm, iam, encryption, zero trust, kubernetes security, compliance, terraform, siem"
digital forensics analyst,"digital forensics, malware analysis, memory forensics, network forensics, incident response, autopsy, volatility, chain of custody"
security architect,"security architecture, threat modeling, zero trust, network security, cloud security, iam, encryption, risk management, cissp, enterprise security"
threat intelligence analyst,"threat intelligence, osint, mitre att&ck, malware analysis, ioc analysis, siem, python, threat hunting, dark web monitoring"
corporate finance analyst,"financial modeling, dcf valuation, m&a analysis, excel, powerpoint, pitch decks, capital markets, equity research"
treasury analyst,"cash management, forex, liquidity management, banking relationships, investment, hedging, treasury systems, financial reporting"
financial controller,"accounting, financial reporting, ifrs, gaap, budgeting, audit, internal controls, erp, consolidation, variance analysis"
credit analyst,"credit assessment, financial analysis, risk rating, loan structuring, excel, financial modeling, banking, credit risk frameworks"
product designer,"figma, user research, wireframing, prototyping, design systems, usability testing, interaction design, visual design, accessibility"
design researcher,"user research, qualitative methods, interviews, usability testing, synthesis, affinity mapping, survey design, persona development"
brand designer,"branding, visual identity, typography, color theory, logo design, brand guidelines, illustrator, photoshop, packaging design"
design lead,"figma, design strategy, team leadership, stakeholder management, design systems, product thinking, mentoring, interaction design"
corporate trainer,"training delivery, learning design, lms, facilitation, content development, needs analysis, adult learning, feedback"
curriculum developer,"curriculum design, bloom's taxonomy, learning objectives, content authoring, articulate, lms, assessment design, instructional design"
edtech product specialist,"lms platforms, instructional design, product management, user research, e-learning, content strategy, analytics, stakeholder management"
university lecturer,"lecture delivery, research, academic writing, course design, grading, student mentoring, subject expertise, academic publishing, classroom management, project supervision, presentation"
power systems engineer,"power systems, protection relays, scada, load flow analysis, switchgear, substation design, etap, power quality"
vlsi design engineer,"verilog, vhdl, rtl design, synthesis, timing analysis, dft, asic, fpga, cadence, synopsys"
iot engineer,"iot protocols, mqtt, embedded c, microcontrollers, raspberry pi, arduino, cloud iot, sensors, wireless communication, firmware"
instrumentation engineer,"pid control, plc, scada, sensors, transmitters, calibration, dcs, process control, p&id, field instruments"
hr analytics specialist,"excel, python, hr metrics, attrition analysis, workforce planning, people analytics, tableau, sql, survey analysis"
diversity and inclusion specialist,"dei programs, policy development, bias training, culture building, data analysis, stakeholder engagement, communication"
employee relations specialist,"labor law, grievance handling, disciplinary process, conflict resolution, policy interpretation, hr compliance, documentation"
talent development manager,"leadership development, succession planning, talent frameworks, coaching, l&d strategy, learning programs, performance management"
it consultant,"it strategy, solution architecture, erp, stakeholder management, requirements analysis, project management, change management, documentation"
financial advisory analyst,"financial analysis, modeling, due diligence, m&a, valuation, excel, powerpoint, client management, research"
hr consultant,"hr strategy, job evaluation, org design, change management, hr policies, compensation benchmarking, talent advisory"
technology consultant,"digital strategy, cloud advisory, agile, solution design, vendor management, business case development, presentation"
intellectual property lawyer,"ip law, trademark, copyright, patent filing, ip litigation, licensing, ip strategy, legal research"
labour law specialist,"labour law, employment law, grievance, industrial disputes, conciliation, labour codes, hr compliance, legal drafting"
legal research analyst,"legal research, case analysis, statutory interpretation, westlaw, legal drafting, briefs, memo writing, regulatory research"
in-house counsel,"contract drafting, negotiation, regulatory compliance, corporate law, risk management, company law, legal advisory, dispute resolution"
health data analyst,"sql, python, healthcare data, ehr systems, icd coding, data visualization, tableau, health metrics, epidemiology"
hospital operations manager,"operations management, hospital administration, workflow optimization, budgeting, staff management, compliance, patient flow"
clinical research coordinator,"clinical trials, protocol adherence, patient recruitment, data collection, gcp, regulatory submissions, irb documentation"
telemedicine specialist,"telehealth platforms, virtual consultation, clinical assessment, remote monitoring, patient communication, digital health, ehr"
pharmacovigilance specialist,"adverse event reporting, eudravigilance, meddra, icsrs, safety database, signal detection, pv regulations, narrative writing"
medical affairs executive,"medical communication, kol management, clinical data interpretation, disease area expertise, scientific platforms, dossier preparation"
quality assurance specialist,"gmp, qa audits, deviations, capa, sops, validation, regulatory compliance, fda, ich guidelines, quality systems"
formulation scientist,"drug formulation, preformulation, excipients, stability studies, analytical testing, pharmaceutical development, dosage forms"
product design engineer,"cad, solidworks, catia, product development, dfm, tolerance analysis, prototyping, fea, material selection, gd&t"
hvac engineer,"hvac design, duct design, heat load calculation, chiller systems, ahu, autocad, ashrae, hvac systems commissioning"
thermal engineer,"thermodynamics, heat transfer, cfd, ansys, heat exchangers, thermal analysis, fluid mechanics, cooling systems"
automobile engineer,"vehicle dynamics, engine systems, powertrain, autocad, catia, automotive testing, obd, adas, norms compliance"
project engineer civil,"project management, site supervision, autocad, estimation, contract management, quality control, ms project, pert cpm, stakeholder coordination"
environmental engineer,"environmental impact assessment, etp, sewage treatment, pollution control, eia reports, sustainability, water treatment, solid waste"
transportation engineer,"highway design, traffic analysis, autocad, pavement design, geometric design, transportation planning, vissim, road safety"
geotechnical engineer,"soil mechanics, foundation design, slope stability, borehole analysis, geotechnical reports, plaxis, ground improvement, retaining walls"
lean manufacturing engineer,"lean manufacturing, six sigma, value stream mapping, kaizen, 5s, waste reduction, time and motion study, production optimization"
supply chain quality analyst,"supplier audits, incoming quality control, apqp, ppap, root cause analysis, supplier corrective actions, spc, quality systems"
production planner,"production planning, mrp, erp, capacity planning, scheduling, inventory control, demand forecasting, cross functional coordination"
ehs engineer,"environment health safety, risk assessment, incident investigation, iso 14001, ohsas 18001, safety audits, hazard analysis, permits to work"
growth marketer,"growth hacking, a/b testing, funnel optimization, paid ads, email marketing, product led growth, analytics, referral programs, retention"
product marketing manager,"go-to-market strategy, positioning, messaging, competitive analysis, product launches, sales enablement, customer research"
email marketing specialist,"email marketing, mailchimp, hubspot, segmentation, drip campaigns, a/b testing, html emails, deliverability, automation"
market research analyst,"primary research, secondary research, qualtrics, survey design, focus groups, competitive analysis, market sizing, reports"
video producer,"video production, scriptwriting, editing, premiere pro, final cut, cinematography, color grading, storyboarding, project management"
podcast producer,"audio recording, podcast editing, audacity, adobe audition, scripting, show notes, distribution, audience building"
copywriter,"advertising copy, brand voice, headline writing, campaigns, persuasive writing, storytelling, digital content, seo writing"
photojournalist,"photography, news writing, photo editing, lightroom, field reporting, story research, caption writing, journalism ethics, camera operations"
warehouse manager,"warehouse operations, wms, inventory management, team leadership, space optimization, safety, 5s, inbound outbound operations"
demand planner,"demand forecasting, supply planning, s&op, excel, erp, statistical models, inventory optimization, cross functional collaboration"
import export specialist,"customs clearance, incoterms, trade compliance, freight forwarding, documentation, letter of credit, hs codes, import regulations"
vendor manager,"vendor selection, contract negotiation, supplier performance, rfp rfq, cost management, relationship management, procurement"
enterprise sales manager,"enterprise sales, consultative selling, crm, pipeline management, negotiation, c-suite engagement, account planning, solution selling"
channel sales manager,"channel management, partner onboarding, distributor management, revenue targets, co-selling, incentive programs, crm"
sales operations analyst,"crm analytics, salesforce, pipeline reporting, quota setting, compensation modeling, revenue analytics, sql, excel"
urban planner,"land use planning, gis, zoning, urban development, public consultation, policy analysis, master plans, smart city"
public health officer,"epidemiology, public health programs, surveillance, health policy, community outreach, vaccination programs, disease prevention"
economic policy analyst,"economic analysis, policy modeling, data analysis, policy briefs, stakeholder engagement, fiscal policy, regression analysis"
csr manager,"csr strategy, ngo coordination, impact reporting, stakeholder engagement, budget management, community programs, esg"
e-commerce manager,"marketplace management, amazon seller central, flipkart, catalogue management, promotions, pricing strategy, analytics, customer experience"
retail buyer,"buying, vendor negotiation, range planning, trend analysis, open to buy, product selection, supplier management, margin optimization"
customer experience manager,"cx strategy, nps, customer journey mapping, service design, complaint resolution, feedback analysis, cx tools, stakeholder management"
visual merchandiser,"store display, planogram, window dressing, brand guidelines, visual communication, retail layout, colour blocking, product placement"
revenue manager,"revenue management, pricing strategy, otas, channel management, forecasting, pms, yield management, compset analysis"
food and beverage manager,"f&b operations, menu planning, cost control, staff management, vendor management, food safety, customer service, pos systems"
tour operations manager,"tour planning, vendor coordination, travel logistics, itinerary design, client management, costing, gds, destination knowledge"
actor,"acting, method acting, improvisation, voice modulation, script analysis, auditioning, stage performance, camera acting, character development, dialogue delivery, dance, stage combat"
theatre actor,"acting, stage performance, script analysis, voice projection, improvisation, character development, rehearsal discipline, movement, dialogue delivery"
voice actor,"voice modulation, diction, script reading, acting, audio recording, character voice, pronunciation, narration"
computer science faculty,"teaching, programming, python, sql, software engineering, database management, curriculum development, assessment, lecture delivery, student mentoring, academic writing, presentation, manual testing, software testing, tableau, power bi, machine learning, ai"
academic research lead,"research, academic writing, publication writing, literature review, project leadership, data analysis, faculty mentoring, presentation, grant writing, research supervision, spss, bibliometric analysis, systematic literature review, editorial work"
hotel operations manager,"hotel operations, guest relations, front office, property management systems, team management, service quality, budgeting, shift operations, problem resolution"
